executors,cores,rows per sec,addBatch,getBatch,getOffset,queryPlanning,triggerExecution,walCommit,total
1,1,53474.0639,56875,150,68,312,57525,57,114987
1,2,72820.32526,41605,131,76,318,42242,40,84412
1,3,81461.49568,37137,127,54,308,37761,42,75429
1,4,83215.63058,36455,104,42,284,36965,28,73878
2,1,54897.90127,55570,90,52,232,56034,31,112009
2,2,75722.45471,39976,103,54,377,40623,38,81171
2,3,80953.41983,37547,88,40,233,37998,30,75936
2,4,83859.90404,36168,109,43,275,36682,31,73308
3,1,53738.4309,56725,87,46,294,57242,34,114428
3,2,72660.35998,41810,100,39,300,42335,31,84615
3,3,84082.24682,35893,147,101,299,36583,60,73083
3,4,84497.98105,35796,117,40,320,36404,41,72718
4,1,53149.76588,57367,80,41,286,57877,30,115681
4,2,75421.68881,40263,97,49,272,40786,38,81505
4,3,80269.00295,37839,90,49,248,38322,38,76586
4,4,83317.05533,36348,124,42,300,36920,36,73770
5,1,54877.33476,55615,82,41,239,56054,29,112060
5,2,73775.63795,41219,82,46,255,41695,29,83326
5,3,77590.40004,39132,94,41,287,39645,30,79229
5,4,85256.75563,35540,109,56,268,36079,35,72087
6,1,54017.75335,56184,136,73,304,56946,149,113792
6,2,72859.99526,41704,102,43,274,42219,39,84381
6,3,82013.14386,36867,103,39,327,37507,31,74874
6,4,77604.10202,39079,90,42,275,39638,80,79204
7,1,54640.4668,55803,93,50,257,56297,28,112528
7,2,74712.77293,40672,110,44,253,41172,31,82282
7,3,78978.89548,38403,114,38,291,38948,31,77825
7,4,85429.59898,35518,100,59,243,36007,35,71962
8,1,53548.53253,56908,112,42,288,57445,32,114827
8,2,73031.24332,41586,107,46,285,42120,34,84178
8,3,78062.95996,38751,142,79,340,39405,37,78754
8,4,84199.62227,36069,85,44,251,36533,31,73013
